Geography,Timeframe,Week,Type,Average_Price,Total_Bulk_and_Bags_Units,4046_Units,4225_Units,4770_Units,TotalBagged_Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
West,Weekly,9/25/22 0:00,Conventional,1.06328906,6394516.62,2503173.77,2351924.38,289633.3,1249785.17,,,
Total U.S.,Weekly,9/25/22 0:00,Conventional,1.099588565,37744796.2,17738915.75,8802908.05,1735043.7,9467928.7,,,
Albany,Weekly,9/25/22 0:00,Organic,2.051929549,3312.61,283.08,449.91,0,2579.63,,,
Atlanta,Weekly,9/25/22 0:00,Organic,1.316401119,49479.62,200.84,14458.62,0,34820.17,,,
Baltimore/Washington,Weekly,9/25/22 0:00,Organic,1.888249225,66261.97,1024.67,14141.03,147.31,50948.96,,,
Birmingham/Montgomery,Weekly,9/25/22 0:00,Organic,1.144796446,18056.66,48.05,961.46,0,17047.15,,,
Boise,Weekly,9/25/22 0:00,Organic,2.133724629,6094,570.16,3652.53,0,1871.31,,,
Boston,Weekly,9/25/22 0:00,Organic,1.813780981,30555.93,224.66,1852.11,0,28479.16,,,
Buffalo/Rochester,Weekly,9/25/22 0:00,Organic,1.760847679,12864.09,720.78,79.22,0,12064.09,,,
Charlotte,Weekly,9/25/22 0:00,Organic,1.393455448,26534.92,346.19,2912.27,14.52,23261.95,,,
Chicago,Weekly,9/25/22 0:00,Organic,1.462641689,72326.44,4047.18,14879.63,0,53399.62,,,
Cincinnati/Dayton,Weekly,9/25/22 0:00,Organic,1.534503758,21383.23,55.51,12511.9,0,8815.82,,,
Columbus,Weekly,9/25/22 0:00,Organic,1.504731843,14566.19,641.71,5025.46,0,8899.02,,,
Dallas/Ft. Worth,Weekly,9/25/22 0:00,Organic,1.237561137,48877.08,11699.85,759.08,0,36418.16,,,
Denver,Weekly,9/25/22 0:00,Organic,1.736730158,37405.78,20047.01,852.01,0,16506.75,,,
Detroit,Weekly,9/25/22 0:00,Organic,1.379127474,27341.99,308.85,6568.18,0,20464.96,,,
Grand Rapids,Weekly,9/25/22 0:00,Organic,1.253605087,10365.25,82.83,582.84,0,9699.57,,,
Harrisburg/Scranton,Weekly,9/25/22 0:00,Organic,1.622817778,15043.92,245.69,460.27,0,14337.96,,,
Hartford/Springfield,Weekly,9/25/22 0:00,Organic,1.832006383,18877.15,407.15,3487.01,4.68,14978.31,,,
Houston,Weekly,9/25/22 0:00,Organic,1.209529034,27335.81,9547.64,310.75,0,17477.41,,,
Indianapolis,Weekly,9/25/22 0:00,Organic,1.428113306,14051.26,189.22,5522.1,0,8339.94,,,
Jacksonville,Weekly,9/25/22 0:00,Organic,1.343979726,14984.43,258.29,208.57,1,14516.58,,,
Las Vegas,Weekly,9/25/22 0:00,Organic,1.497159232,16110.11,3837.16,3763.92,0,8509.03,,,
Los Angeles,Weekly,9/25/22 0:00,Organic,1.861980058,155191.88,52520.36,4976.85,2517.98,95176.69,,,
Louisville,Weekly,9/25/22 0:00,Organic,1.484268807,9571.61,18.55,4487.51,0,5065.55,,,
Miami/Ft. Lauderdale,Weekly,9/25/22 0:00,Organic,1.264840793,73669.52,1768.66,462.97,0,71437.89,,,
Nashville,Weekly,9/25/22 0:00,Organic,1.516285629,25292.48,118.61,11231.64,0,13942.22,,,
Northern New England,Weekly,9/25/22 0:00,Organic,2.148001076,13421.97,1503.39,289.75,0,11628.83,,,
New Orleans/Mobile,Weekly,9/25/22 0:00,Organic,1.281076271,8522.91,375.98,162.95,0,7983.99,,,
New York,Weekly,9/25/22 0:00,Organic,1.858699814,99847.96,4519.57,11940.28,110.51,83277.59,,,
Orlando,Weekly,9/25/22 0:00,Organic,1.090868937,53830.91,800.4,132.3,0,52898.21,,,
Peoria/Springfield,Weekly,9/25/22 0:00,Organic,1.440764438,5606.06,88.41,1143.59,0,4374.07,,,
Philadelphia,Weekly,9/25/22 0:00,Organic,1.955402616,32427.96,1188.99,7466.93,571.06,23200.98,,,
Phoenix/Tucson,Weekly,9/25/22 0:00,Organic,1.504113089,35810.63,7386.2,7781.15,0,20643.28,,,
Pittsburgh,Weekly,9/25/22 0:00,Organic,1.508027137,8695.43,1527.7,1,0,7166.73,,,
Portland,Weekly,9/25/22 0:00,Organic,1.941857149,40618.77,300.71,27063.89,1.26,13252.91,,,
Providence,Weekly,9/25/22 0:00,Organic,1.720582477,4840.28,34.28,15.89,0,4790.12,,,
Raleigh/Greensboro,Weekly,9/25/22 0:00,Organic,1.592308714,28523.06,745.57,2992.17,38.96,24746.36,,,
Richmond/Norfolk,Weekly,9/25/22 0:00,Organic,1.393275084,29992.17,211.71,4899.43,3.01,24878.02,,,
Roanoke,Weekly,9/25/22 0:00,Organic,1.383824322,14423.17,60.49,4061.17,0,10301.51,,,
Sacramento,Weekly,9/25/22 0:00,Organic,1.86541384,22474.41,4624.17,3605.36,0,14244.89,,,
San Diego,Weekly,9/25/22 0:00,Organic,2.058857379,26249.09,13872.21,825.75,394.78,11156.35,,,
San Francisco,Weekly,9/25/22 0:00,Organic,2.231035364,54761.89,17885.14,6905.82,0,29970.94,,,
Seattle,Weekly,9/25/22 0:00,Organic,1.975098764,80308.02,4257.74,59421.58,2.16,16626.53,,,
South Carolina,Weekly,9/25/22 0:00,Organic,1.35890538,37886.55,540.02,4306.57,21.3,33018.66,,,
Spokane,Weekly,9/25/22 0:00,Organic,2.174942538,5018.1,418.32,2621.82,0,1977.96,,,
St. Louis,Weekly,9/25/22 0:00,Organic,1.750162032,8103.57,906.7,2123.44,0,5073.43,,,
Syracuse,Weekly,9/25/22 0:00,Organic,1.648357405,4407.11,253.72,81.44,0,4071.95,,,
Tampa,Weekly,9/25/22 0:00,Organic,0.878601836,56787.76,493.59,80.85,0,56213.32,,,
Toledo,Weekly,9/25/22 0:00,Organic,1.393587731,6701.87,46.02,2242.2,0,4413.66,,,
West Tex/New Mexico,Weekly,9/25/22 0:00,Organic,1.16698764,21103.8,3073.73,1780.83,0,16249.24,,,
Wichita,Weekly,9/25/22 0:00,Organic,1.477573833,3615.73,1348.96,4.85,0,2261.92,,,
California,Weekly,9/25/22 0:00,Organic,1.958508306,321270.49,110788.95,23945.3,3037.11,183499.13,,,
Great Lakes,Weekly,9/25/22 0:00,Organic,1.452269071,239582.63,14946.2,59520.28,0,165116.14,,,
Midsouth,Weekly,9/25/22 0:00,Organic,1.562620667,294505.49,3428.39,66969.94,442.49,223664.67,,,
Northeast,Weekly,9/25/22 0:00,Organic,1.845176482,266084.88,14043.49,28166.1,574.55,223300.74,,,
Plains,Weekly,9/25/22 0:00,Organic,1.58200872,64102.25,13770.47,8120.72,0,42211.05,,,
South Central,Weekly,9/25/22 0:00,Organic,1.262318188,152581.56,32022.34,6100.69,0,114458.53,,,
Southeast,Weekly,9/25/22 0:00,Organic,1.163557476,400348.68,5141.16,27470.04,24.66,367712.81,,,
West,Weekly,9/25/22 0:00,Organic,1.813112037,328754.55,63483.19,135959.65,3.7,129308.01,,,
Total U.S.,Weekly,9/25/22 0:00,Organic,1.588713779,2067230.51,257624.2,356252.73,4082.5,1449271.08,,,
Albany,Weekly,10/2/22 0:00,Conventional,1.141561514,93361.93,13984.53,56251.74,18.73,23106.94,,,
Atlanta,Weekly,10/2/22 0:00,Conventional,1.079851623,673215.53,475759.52,54823.93,45139.18,97492.9,,,
Baltimore/Washington,Weekly,10/2/22 0:00,Conventional,1.160790841,996080.16,322139.33,253066.28,1980.01,418894.55,,,
Birmingham/Montgomery,Weekly,10/2/22 0:00,Conventional,1.001501565,310133.61,195098.93,35424.73,3371.76,76238.19,,,
Boise,Weekly,10/2/22 0:00,Conventional,1.197999461,91954.5,46698.59,23146.16,234.24,21875.5,,,
Boston,Weekly,10/2/22 0:00,Conventional,1.466714349,480805.85,45039.37,319821.93,844.04,115100.51,,,
Buffalo/Rochester,Weekly,10/2/22 0:00,Conventional,1.129355024,191991.83,48309.93,39757.36,1103.37,102821.17,,,
Charlotte,Weekly,10/2/22 0:00,Conventional,1.153982839,357641.41,143578.29,61487.47,2493.35,150082.3,,,
Chicago,Weekly,10/2/22 0:00,Conventional,1.278981089,1079083.77,385314.35,371297.59,112903.61,209568.21,,,
Cincinnati/Dayton,Weekly,10/2/22 0:00,Conventional,1.110647,235981.46,102473.48,26976.26,69924.84,36606.87,,,
Columbus,Weekly,10/2/22 0:00,Conventional,1.121517427,197961.43,97212.33,16791.72,43698.24,40259.13,,,
Dallas/Ft. Worth,Weekly,10/2/22 0:00,Conventional,0.841951518,1385442.23,629456.14,297323.46,6081.25,452581.37,,,
Denver,Weekly,10/2/22 0:00,Conventional,1.126253235,814018.52,338306.4,147858.18,134642.2,193211.74,,,
Detroit,Weekly,10/2/22 0:00,Conventional,1.142911028,322399.07,130162.01,69799.35,38905.55,83532.16,,,
Grand Rapids,Weekly,10/2/22 0:00,Conventional,1.309474186,141019.08,35143.82,33081.52,36047.89,36745.85,,,
Harrisburg/Scranton,Weekly,10/2/22 0:00,Conventional,1.079245023,337644.73,143448.5,79353.85,1556.65,113285.72,,,
Hartford/Springfield,Weekly,10/2/22 0:00,Conventional,1.300648019,304367.19,50719.44,175495.71,877.78,77274.25,,,
Houston,Weekly,10/2/22 0:00,Conventional,0.896017055,965494.11,489029.18,217288.61,11867.81,247308.5,,,
Indianapolis,Weekly,10/2/22 0:00,Conventional,1.044481937,213612.83,87547.6,31453.12,41986.82,52625.28,,,
Jacksonville,Weekly,10/2/22 0:00,Conventional,1.080049252,216381.11,154873.07,15103.09,42.68,46362.28,,,
Las Vegas,Weekly,10/2/22 0:00,Conventional,1.043892238,329323.08,116362.67,102849.23,3578.74,106532.45,,,
Los Angeles,Weekly,10/2/22 0:00,Conventional,1.231212239,2866774.77,1571477.84,112462.41,566239.78,616594.74,,,
Louisville,Weekly,10/2/22 0:00,Conventional,1.059437279,101855.49,47333.13,6485.35,19323.85,28713.16,,,
Miami/Ft. Lauderdale,Weekly,10/2/22 0:00,Conventional,1.135913604,918244.59,672154.78,28805.56,1957.53,215326.72,,,
Nashville,Weekly,10/2/22 0:00,Conventional,1.048610882,260229.35,132807.18,27929.81,23295.37,76196.99,,,
Northern New England,Weekly,10/2/22 0:00,Conventional,1.258408039,346747.98,53523.86,229646.33,196.51,63381.27,,,
New Orleans/Mobile,Weekly,10/2/22 0:00,Conventional,0.853627867,315768.78,152251.92,11708.38,643.5,151164.98,,,
New York,Weekly,10/2/22 0:00,Conventional,1.211468215,1823627.99,348452.57,908201.44,18825.75,548148.23,,,
Orlando,Weekly,10/2/22 0:00,Conventional,1.032385648,508780.07,322243.9,17770.02,40.3,168725.85,,,
Peoria/Springfield,Weekly,10/2/22 0:00,Conventional,0.999071772,128131.93,64311.7,17493.89,12128.33,34198.02,,,
Philadelphia,Weekly,10/2/22 0:00,Conventional,1.113592777,553674.72,188697.48,152701.09,1311.37,210964.78,,,
Phoenix/Tucson,Weekly,10/2/22 0:00,Conventional,0.842383643,1190206.25,651968.73,364749.57,3232.37,170255.58,,,
Pittsburgh,Weekly,10/2/22 0:00,Conventional,1.082560621,136290.68,73500.69,15220.72,23.63,47545.64,,,
Portland,Weekly,10/2/22 0:00,Conventional,1.220232048,635264.62,358355.58,165828.65,26476.06,84604.33,,,
Providence,Weekly,10/2/22 0:00,Conventional,1.372711435,82127.1,13947.27,51261.61,132.61,16785.62,,,
Raleigh/Greensboro,Weekly,10/2/22 0:00,Conventional,1.159682096,395257.22,158871.1,75969.67,1736.81,158679.63,,,
Richmond/Norfolk,Weekly,10/2/22 0:00,Conventional,1.135315294,277113.53,122684.36,49314.9,19745.72,85368.54,,,
Roanoke,Weekly,10/2/22 0:00,Conventional,1.06678151,162553.67,84112.99,19277.6,16114.61,43048.46,,,
Sacramento,Weekly,10/2/22 0:00,Conventional,1.215145692,474487.71,176254.9,211841.59,6392.55,79998.67,,,
San Diego,Weekly,10/2/22 0:00,Conventional,1.296899939,528008.95,284704.46,47986.83,77200.09,118117.57,,,
San Francisco,Weekly,10/2/22 0:00,Conventional,1.599642507,634605.69,367800.61,150925.37,6381.59,109498.12,,,
Seattle,Weekly,10/2/22 0:00,Conventional,1.711046241,427098.86,170178.54,164711.18,20168.56,72040.58,,,
South Carolina,Weekly,10/2/22 0:00,Conventional,1.096118672,506649.19,286201.5,59379.35,10009.46,151058.88,,,
Spokane,Weekly,10/2/22 0:00,Conventional,1.429104148,62177.22,21493.47,27788.26,7.76,12887.74,,,
St. Louis,Weekly,10/2/22 0:00,Conventional,0.942986603,221053.64,129886.76,13795.45,7.56,77363.87,,,
Syracuse,Weekly,10/2/22 0:00,Conventional,1.134186274,80263.05,17905.03,27242.74,252.31,34862.96,,,
Tampa,Weekly,10/2/22 0:00,Conventional,1.020968232,508943.91,327842.43,10051.4,38.17,171011.91,,,
Toledo,Weekly,10/2/22 0:00,Conventional,1.074404974,107844.56,43513.48,17308.12,23862.34,23160.61,,,
West Tex/New Mexico,Weekly,10/2/22 0:00,Conventional,0.820646561,813292.33,374771.97,113885.79,10728.5,313906.08,,,
Wichita,Weekly,10/2/22 0:00,Conventional,0.932506728,97732.18,49615.79,21688.96,7.56,26419.87,,,
California,Weekly,10/2/22 0:00,Conventional,1.293788901,5713463.76,2996401.51,855392.9,733451.2,1128218.14,,,
Great Lakes,Weekly,10/2/22 0:00,Conventional,1.139942202,3739035.98,1485643.65,941248.72,493793.79,818349.83,,,
Midsouth,Weekly,10/2/22 0:00,Conventional,1.119871974,3686644.25,1543694.79,696883,150306.32,1295760.14,,,
Northeast,Weekly,10/2/22 0:00,Conventional,1.242206766,4550825.08,941596.22,2127357.96,14397.1,1467473.79,,,
Plains,Weekly,10/2/22 0:00,Conventional,1.006870928,1954520.49,970397.78,336994.38,4197.62,642930.71,,,
South Central,Weekly,10/2/22 0:00,Conventional,0.866216678,5139887.23,2369140.88,988547.71,46633.48,1735565.15,,,
Southeast,Weekly,10/2/22 0:00,Conventional,1.065565285,4773100.28,3199293.63,271111.05,82853.09,1219842.51,,,
West,Weekly,10/2/22 0:00,Conventional,1.097886807,6025481.44,2891066.02,1629167.13,266442.83,1238805.46,,,
Total U.S.,Weekly,10/2/22 0:00,Conventional,1.111697573,35582958.51,16397234.49,7846702.86,1792075.42,9546945.74,,,
Albany,Weekly,10/2/22 0:00,Organic,2.088534448,3162.88,285.37,426.19,0,2451.32,,,
Atlanta,Weekly,10/2/22 0:00,Organic,1.167937804,67342.69,272.87,17605.11,0,49464.71,,,
Baltimore/Washington,Weekly,10/2/22 0:00,Organic,1.879651721,60431.84,864.44,10656.56,110.05,48800.8,,,
Birmingham/Montgomery,Weekly,10/2/22 0:00,Organic,1.061278454,19916.61,64.3,800.15,0,19052.16,,,
Boise,Weekly,10/2/22 0:00,Organic,2.071132244,6557.39,273.1,3856.13,0,2428.17,,,
Boston,Weekly,10/2/22 0:00,Organic,1.594765982,43649.24,282.49,2340.03,0,41026.71,,,
Buffalo/Rochester,Weekly,10/2/22 0:00,Organic,1.746567061,10861.84,647.69,75.5,0,10138.66,,,
Charlotte,Weekly,10/2/22 0:00,Organic,1.414221102,27529.43,328.95,3462.69,31.09,23706.7,,,
Chicago,Weekly,10/2/22 0:00,Organic,1.476583812,63469.72,3567.23,13147.55,0,46754.94,,,
Cincinnati/Dayton,Weekly,10/2/22 0:00,Organic,1.561342902,20078.75,60.01,12027.69,0,7991.05,,,
Columbus,Weekly,10/2/22 0:00,Organic,1.563919855,13579.32,800.56,4959.63,0,7819.14,,,
Dallas/Ft. Worth,Weekly,10/2/22 0:00,Organic,1.245869574,47932.95,13667.96,757.75,0,33507.24,,,
Denver,Weekly,10/2/22 0:00,Organic,1.74271494,35873.98,19376.33,713.13,0,15784.52,,,
Detroit,Weekly,10/2/22 0:00,Organic,1.508548524,22340.32,335.37,6972.58,0,15032.37,,,
Grand Rapids,Weekly,10/2/22 0:00,Organic,1.533473833,7819.8,93.63,553.65,0,7172.52,,,
Harrisburg/Scranton,Weekly,10/2/22 0:00,Organic,1.596035654,14205.19,345.99,342.31,0,13516.88,,,
Hartford/Springfield,Weekly,10/2/22 0:00,Organic,1.471600969,28025.38,525.34,5564.29,3.96,21931.78,,,
Houston,Weekly,10/2/22 0:00,Organic,1.219233352,25138.88,9438.99,320.68,0,15379.21,,,
Indianapolis,Weekly,10/2/22 0:00,Organic,1.483885622,12908.1,204.47,5388.25,0,7315.37,,,
Jacksonville,Weekly,10/2/22 0:00,Organic,0.911504321,24219.48,166.89,178.83,0,23873.76,,,
Las Vegas,Weekly,10/2/22 0:00,Organic,1.473540487,17105.45,4824.39,2776.97,0,9504.09,,,
Los Angeles,Weekly,10/2/22 0:00,Organic,1.809481431,145017.2,46901.11,4698.97,2825.59,90591.53,,,
Louisville,Weekly,10/2/22 0:00,Organic,1.513388258,9317.75,26.9,5081.67,0,4209.18,,,
Miami/Ft. Lauderdale,Weekly,10/2/22 0:00,Organic,1.38938108,45637.12,1858.68,529.2,0,43249.24,,,
Nashville,Weekly,10/2/22 0:00,Organic,1.5631104,23731.67,111.17,11104.69,0,12515.81,,,
Northern New England,Weekly,10/2/22 0:00,Organic,2.200622301,14296.13,1737.8,396.14,0,12162.19,,,
New Orleans/Mobile,Weekly,10/2/22 0:00,Organic,1.275346652,6655.06,484.73,103.31,0,6067.03,,,
New York,Weekly,10/2/22 0:00,Organic,1.552063538,132781.93,6227.36,10219.64,59.37,116275.56,,,
Orlando,Weekly,10/2/22 0:00,Organic,1.037531317,43266.95,459.46,117.06,0,42690.42,,,
Peoria/Springfield,Weekly,10/2/22 0:00,Organic,1.529441269,4618.2,86.8,1113.15,0,3418.25,,,
Philadelphia,Weekly,10/2/22 0:00,Organic,1.877597182,30316.56,1392.22,5109.31,255.04,23559.98,,,
Phoenix/Tucson,Weekly,10/2/22 0:00,Organic,1.477979651,33621.55,8506.89,5265.76,0,19848.9,,,
Pittsburgh,Weekly,10/2/22 0:00,Organic,1.562848828,9319.81,1881.7,0,0,7438.11,,,
Portland,Weekly,10/2/22 0:00,Organic,1.853749282,42884.22,357.9,26523.48,0,16002.84,,,
Providence,Weekly,10/2/22 0:00,Organic,1.404288509,7818.6,49.16,2.99,0,7766.45,,,
Raleigh/Greensboro,Weekly,10/2/22 0:00,Organic,1.554499149,30152.08,787.15,3196.44,21.41,26147.08,,,
Richmond/Norfolk,Weekly,10/2/22 0:00,Organic,1.407007671,29068.03,251.12,5062.01,2,23752.89,,,
Roanoke,Weekly,10/2/22 0:00,Organic,1.388403793,14499.79,36.26,4039.62,0,10423.91,,,
Sacramento,Weekly,10/2/22 0:00,Organic,1.867332224,19158.04,3799.22,2542.6,0,12816.22,,,
San Diego,Weekly,10/2/22 0:00,Organic,2.01362166,23543.06,11548.03,975.16,331.11,10688.75,,,
San Francisco,Weekly,10/2/22 0:00,Organic,2.190380542,52774.91,15472.03,5294.29,0,32008.58,,,
Seattle,Weekly,10/2/22 0:00,Organic,1.932543347,76521.23,3829.98,55627.12,11.89,17052.25,,,
South Carolina,Weekly,10/2/22 0:00,Organic,1.248231466,46621.58,533.72,4897.33,21.28,41169.24,,,
Spokane,Weekly,10/2/22 0:00,Organic,2.04698916,5254.8,121.05,3036.12,0,2097.64,,,
St. Louis,Weekly,10/2/22 0:00,Organic,1.82368769,9091.14,1072.33,2729.73,0,5289.08,,,
Syracuse,Weekly,10/2/22 0:00,Organic,1.659983148,4079.26,275.76,65.36,0,3738.13,,,
Tampa,Weekly,10/2/22 0:00,Organic,1.247945304,22172.82,284.69,26.04,0,21862.1,,,
Toledo,Weekly,10/2/22 0:00,Organic,1.501425812,5458.34,53.99,2183.3,0,3221.05,,,
West Tex/New Mexico,Weekly,10/2/22 0:00,Organic,1.140668538,38170.91,11277.53,1540.11,0,25353.27,,,
Wichita,Weekly,10/2/22 0:00,Organic,1.42658941,3393.14,1225.83,10.67,0,2156.64,,,
California,Weekly,10/2/22 0:00,Organic,1.907499303,295168.42,96170.95,18113.9,3311.83,177571.74,,,
Great Lakes,Weekly,10/2/22 0:00,Organic,1.513588816,202327.81,10755.82,54883.81,0,136688.17,,,
Midsouth,Weekly,10/2/22 0:00,Organic,1.56423924,281851.94,3517.23,64208.7,243.8,213882.21,,,
Northeast,Weekly,10/2/22 0:00,Organic,1.631908171,322645.72,16950.11,26585.27,283.3,278827.04,,,
Plains,Weekly,10/2/22 0:00,Organic,1.55392196,52283.46,13542.57,4447,0,34293.89,,,
South Central,Weekly,10/2/22 0:00,Organic,1.249469474,155322.11,41278.25,6867.97,0,107175.88,,,
Southeast,Weekly,10/2/22 0:00,Organic,1.142680009,368501.26,4333.44,31591.3,23.96,332552.55,,,
West,Weekly,10/2/22 0:00,Organic,1.738676225,338576.3,68228.12,128509.39,12.77,141826.02,,,
Total U.S.,Weekly,10/2/22 0:00,Organic,1.547969717,2016677.01,254776.5,335207.34,3875.67,1422817.49,,,
Albany,Weekly,10/9/22 0:00,Conventional,1.115278286,105262.44,13391.07,66965.34,11.44,24894.58,,,
Atlanta,Weekly,10/9/22 0:00,Conventional,1.055062673,661838,465154.44,69640.42,41811.78,85231.34,,,
Baltimore/Washington,Weekly,10/9/22 0:00,Conventional,1.219973786,944746.17,297116.08,243613.44,1837.64,402179.01,,,
Birmingham/Montgomery,Weekly,10/9/22 0:00,Conventional,1.001972114,313626.4,199920.73,45000.35,2486.53,66218.79,,,
Boise,Weekly,10/9/22 0:00,Conventional,1.193115936,98568.51,51305.32,27493.8,263.12,19506.27,,,
Boston,Weekly,10/9/22 0:00,Conventional,1.449329733,484186.45,41058.75,317575.56,183.31,125368.84,,,
Buffalo/Rochester,Weekly,10/9/22 0:00,Conventional,1.155401311,186867.17,34227.05,45283.85,1303.32,106052.95,,,
Charlotte,Weekly,10/9/22 0:00,Conventional,1.164849514,349241.82,151061.74,51590.22,1951.35,144638.51,,,
Chicago,Weekly,10/9/22 0:00,Conventional,1.241252221,1114238.18,390519.17,421237.96,79620.77,222860.29,,,
Cincinnati/Dayton,Weekly,10/9/22 0:00,Conventional,1.141030617,229262.56,120278.27,17282.58,52430.35,39271.36,,,
Columbus,Weekly,10/9/22 0:00,Conventional,1.117815319,205483.8,108703.4,16783.09,37289.48,42707.83,,,
Dallas/Ft. Worth,Weekly,10/9/22 0:00,Conventional,0.838607893,1416017.26,682565.01,277243.62,4378.07,451830.57,,,
Denver,Weekly,10/9/22 0:00,Conventional,1.012898397,938896.32,390032.45,304238.01,53186.06,191439.8,,,
Detroit,Weekly,10/9/22 0:00,Conventional,1.156636975,345254.53,129040.48,82567.81,45893.42,87752.81,,,
Grand Rapids,Weekly,10/9/22 0:00,Conventional,1.27977136,166233.39,32854.63,46515.53,43705.43,43157.79,,,
Harrisburg/Scranton,Weekly,10/9/22 0:00,Conventional,1.047747073,344570.12,128753.5,88711.83,1567.7,125537.09,,,
Hartford/Springfield,Weekly,10/9/22 0:00,Conventional,1.323493798,322993.75,35248.08,204669.39,279.63,82796.64,,,
Houston,Weekly,10/9/22 0:00,Conventional,0.894435867,962423.78,494534.38,195845.91,9443.99,262599.51,,,
Indianapolis,Weekly,10/9/22 0:00,Conventional,1.054914404,211325.12,93754.66,30681.24,31714.71,55174.5,,,
Jacksonville,Weekly,10/9/22 0:00,Conventional,1.12462845,225434.08,162688.06,14278.09,21.69,48446.25,,,
Las Vegas,Weekly,10/9/22 0:00,Conventional,1.039433083,357148.59,124359.49,117164.08,515.51,115109.5,,,
Los Angeles,Weekly,10/9/22 0:00,Conventional,1.18556895,3097626.4,1682028.43,159962.17,661820.12,593815.68,,,
Louisville,Weekly,10/9/22 0:00,Conventional,1.069443509,104778.54,51157.98,3167.48,20548.93,29904.15,,,
Miami/Ft. Lauderdale,Weekly,10/9/22 0:00,Conventional,1.175343223,858322.17,649679.31,33754.77,1723.73,173164.36,,,
Nashville,Weekly,10/9/22 0:00,Conventional,1.035821098,253965.54,141342.16,17296.72,20725.1,74601.55,,,
Northern New England,Weekly,10/9/22 0:00,Conventional,1.225292497,379789.88,50470.17,258960.15,105.34,70254.21,,,
New Orleans/Mobile,Weekly,10/9/22 0:00,Conventional,0.83678695,360952.25,166032.88,15698.87,539.37,178681.14,,,
New York,Weekly,10/9/22 0:00,Conventional,1.164067616,1971992.11,286707.57,1110998.89,16226.89,558058.76,,,
Orlando,Weekly,10/9/22 0:00,Conventional,1.05378901,587867.03,402342.61,19048.4,58.46,166417.56,,,
Peoria/Springfield,Weekly,10/9/22 0:00,Conventional,0.98915071,130896.09,63862.69,20517.35,9582.02,36934.03,,,
Philadelphia,Weekly,10/9/22 0:00,Conventional,1.090231997,586046.45,173587.2,195474.83,1327.19,215657.24,,,
Phoenix/Tucson,Weekly,10/9/22 0:00,Conventional,0.793422508,1293199.13,760332.5,354625.14,3290.77,174950.71,,,
Pittsburgh,Weekly,10/9/22 0:00,Conventional,0.917827095,179956.28,115637.23,15698.74,22.68,48597.63,,,
Portland,Weekly,10/9/22 0:00,Conventional,1.281341131,543797.21,262945.21,170401.67,25877.89,84572.44,,,
Providence,Weekly,10/9/22 0:00,Conventional,1.421315693,79212.48,9571.65,51967.29,17.86,17655.68,,,
Raleigh/Greensboro,Weekly,10/9/22 0:00,Conventional,1.164204156,392737.14,169208.89,62827.59,1576.69,159123.95,,,
Richmond/Norfolk,Weekly,10/9/22 0:00,Conventional,1.134949492,256857.49,110282.38,49942.6,15257.43,81375.09,,,
Roanoke,Weekly,10/9/22 0:00,Conventional,1.057850495,153973.29,81258.84,17588.09,13205.94,41920.42,,,
Sacramento,Weekly,10/9/22 0:00,Conventional,1.454737398,488123.86,219988.38,180182.08,5817.13,82136.27,,,
San Diego,Weekly,10/9/22 0:00,Conventional,1.261540327,589354.41,332989.99,61153.42,88553.3,106657.7,,,
San Francisco,Weekly,10/9/22 0:00,Conventional,1.73062456,848617.27,587441.19,152423.65,4973.83,103778.6,,,
Seattle,Weekly,10/9/22 0:00,Conventional,1.699124759,490545.25,246768.45,154011.28,21941.19,67824.32,,,
South Carolina,Weekly,10/9/22 0:00,Conventional,1.084733595,506124.01,295423.07,70770.88,8988.38,130941.68,,,
Spokane,Weekly,10/9/22 0:00,Conventional,1.425474758,70094.89,37584.74,21548.82,68,10893.34,,,
St. Louis,Weekly,10/9/22 0:00,Conventional,0.911391199,229888.58,138737.35,15180.05,28.24,75942.94,,,
Syracuse,Weekly,10/9/22 0:00,Conventional,1.15050295,81578.47,15828.01,29696.43,250.17,35803.86,,,
Tampa,Weekly,10/9/22 0:00,Conventional,1.045492423,623250.36,436900.02,14987.62,40.27,171322.46,,,
Toledo,Weekly,10/9/22 0:00,Conventional,1.105575536,108553.71,46634.31,17028.38,20765.71,24125.32,,,
West Tex/New Mexico,Weekly,10/9/22 0:00,Conventional,0.858050826,840620.75,415662.74,106602.56,6867.69,311487.76,,,
Wichita,Weekly,10/9/22 0:00,Conventional,1.0043058,97092.82,46062.57,24836.83,28.4,26165.03,,,
California,Weekly,10/9/22 0:00,Conventional,1.335515263,6355899.46,3573695.56,853169.13,844020.61,1085014.16,,,
Great Lakes,Weekly,10/9/22 0:00,Conventional,1.124814155,3945023.29,1609358.41,1029985.08,447969.55,857710.25,,,
Midsouth,Weekly,10/9/22 0:00,Conventional,1.136495816,3592868.83,1558296.02,625541.86,134255.2,1274775.75,,,
Northeast,Weekly,10/9/22 0:00,Conventional,1.204066114,5106679.26,915752.62,2647746.84,11407.95,1531771.84,,,
Plains,Weekly,10/9/22 0:00,Conventional,1.020328855,2039414.56,1038452.14,377385.68,3787.83,619788.91,,,
South Central,Weekly,10/9/22 0:00,Conventional,0.871375666,5306703.67,2592460.1,946501.74,36697.62,1731044.21,,,
Southeast,Weekly,10/9/22 0:00,Conventional,1.074425384,4983063.21,3438022.59,348379.55,77247.92,1119413.14,,,
